Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value
236439_at,0.8215188698777001,0.49145502536776303,0.33006384450993703,9.293781834509173e-20,3.920989445147109e-15
236617_at,0.8332011547774462,0.5761073092701025,0.2570938455073437,7.211824395531306e-14,3.0531733776213274e-11
236645_at,0.6095527284788783,0.3639786065689283,0.24557412190995004,2.638616116511154e-14,1.549491849150792e-11
236934_at,0.7446361446459596,0.532036484194036,0.21259966045192358,7.466356938505883e-09,2.790966129244502e-07
236949_at,0.8232263794509845,0.5921622527623067,0.23106412668867782,4.9737812561708225e-12,7.873423644732091e-10
237782_at,0.7503975907687872,0.4899607424182956,0.2604368483504916,5.468840922025145e-16,8.533423122130264e-13
237790_at,0.4673342397224325,0.6953829491646613,-0.22804870944222877,4.870060890861637e-11,4.844601738299209e-09
237832_at,0.5450610736483924,0.7694754552911371,-0.22441438164274474,9.1253631849286e-10,4.998630487648001e-08
238017_at,0.47054479291211787,0.701749547034292,-0.23120475412217417,1.888295316464937e-14,1.2190151473879944e-11
238558_at,0.8749701547203166,0.6415510006077818,0.23341915411253478,2.602313966991397e-16,4.584521699332296e-13
238567_at,0.3418709998709915,0.5897151511225556,-0.24784415125156406,4.681699002618626e-12,7.476070983333656e-10
239166_at,0.714181308570557,0.5111470745304135,0.20303423404014342,2.799946226497992e-09,1.2392352039490542e-07
239179_at,0.8910980881065507,0.660316659588295,0.23078142851825567,4.686035527349234e-15,4.572673280290778e-12
239301_at,0.6655509103624236,0.46166100034236934,0.2038899100200543,5.700411422570655e-10,3.466776937871394e-08
239497_at,0.726258417592739,0.5210869534310067,0.20517146416173226,3.1837075784569774e-12,5.366414258712065e-10
239629_at,0.8307378405608977,0.5555690262662284,0.27516881429466933,2.9784550486075457e-15,3.460901395097955e-12
239649_at,0.5985479805195616,0.3749961355663477,0.2235518449532139,1.898843737940148e-12,3.555416585377363e-10
239826_at,0.7508507037613923,0.5036747355806023,0.24717596818079002,1.661081844503102e-13,6.007726011513106e-11
240005_at,0.49841064407733193,0.7264215482331633,-0.22801090415583136,3.9991095696604945e-15,4.289685876127287e-12
240156_at,0.6506017623469917,0.4427172439950895,0.20788451835190225,1.120294013508718e-12,2.389945974990298e-10
240230_s_at,0.590708828561301,0.3827120188447053,0.20799680971659573,5.359077941234575e-11,5.20774597161288e-09
240392_at,0.6798994643048927,0.45138079276412263,0.22851867154077005,9.174027782156653e-11,8.094398256586469e-09
240971_x_at,0.7315940228600543,0.4817795894684509,0.24981443339160336,9.999641888628222e-13,2.1757388145962272e-10
241316_at,0.5717513592315951,0.36036371121865046,0.21138764801294468,9.018542475642667e-11,7.982652515758071e-09
241320_at,0.48292989589998464,0.27571511915471497,0.20721477674526967,2.79716140141469e-08,8.306763219981536e-07
241457_at,0.7177335527062868,0.5108962524322938,0.20683730027399305,4.2882243343602776e-10,2.7682363542838987e-08
241762_at,0.8915137014549156,0.6339171258929878,0.25759657556192783,1.629289670623465e-14,1.1565116276999595e-11
241851_x_at,0.7629692886893545,0.5524509109324145,0.21051837775694004,1.459058305026804e-10,1.1770096190905294e-08
241897_at,0.4407946049948641,0.19710723451611792,0.2436873704787462,6.705219592247604e-11,6.259695001562708e-09
241987_x_at,0.5598320030956135,0.33906863737925497,0.22076336571635857,5.987051545032e-09,2.3140187263187023e-07
242265_at,0.5501295885322447,0.3414541183046739,0.20867547022757077,2.9907696378511977e-10,2.0860140770366216e-08
242319_at,0.7649525840316219,0.557810856308334,0.20714172772328787,9.225802247789648e-12,1.2603774199283666e-09
242372_s_at,0.5441121857655058,0.7845497620239138,-0.240437576258408,5.1843735042963835e-11,5.055967681966757e-09
242645_at,0.645457366118195,0.4349693792446091,0.21048798687358594,1.3189835486206662e-10,1.0964025653092913e-08
242700_at,0.4440841289337052,0.23714355806934836,0.20694057086435683,3.6889531092472828e-09,1.554512316013286e-07
242742_at,0.597764499516765,0.37826783030250793,0.2194966692142571,8.37677954950573e-12,1.1670435243294806e-09
242801_at,0.7792668495994658,0.5221880294743239,0.25707882012514194,2.25028557440329e-16,4.237753312927133e-13
242849_at,0.6269167594112017,0.4012464833176287,0.22567027609357304,6.703430208807714e-13,1.6198868760779453e-10
242922_at,0.631237467158112,0.41108029096007526,0.22015717619803676,2.358894643114098e-11,2.706435150092232e-09
243121_x_at,0.6718348726886981,0.4657122287574177,0.20612264393128044,2.980266204162517e-13,9.092808838431707e-11
243127_x_at,0.6481098846956723,0.44609953003052033,0.202010354665152,1.1046524277146978e-14,8.87182103452688e-12
243203_at,0.5974387974669019,0.37815520265843805,0.21928359480846382,1.6235588659403435e-12,3.155424211587188e-10
243341_at,0.4906217783620875,0.24787449761714955,0.24274728074493793,3.738951751498901e-11,3.896858244362777e-09
243431_at,0.6415927904471961,0.3926159164519108,0.24897687399528529,1.9391219889056378e-13,6.702611973424279e-11
243469_at,0.5867566391079092,0.352595274993198,0.23416136411471122,1.1605411918885999e-11,1.5126643463630574e-09
243473_at,0.6829850326209614,0.46334671002511135,0.2196383225958501,1.873028361060084e-13,6.557160120677844e-11
243593_s_at,0.6916199310112416,0.4565167791650716,0.23510315184617003,2.1462582971015923e-15,2.604746763991317e-12
243648_at,0.7960249020585471,0.5928010692606396,0.20322383279790757,3.9941131486359156e-14,2.0974086671774352e-11
243704_at,0.44262536093394805,0.6508565197989243,-0.20823115886497628,5.539225238003268e-14,2.5636754908734955e-11
243887_at,0.4241280974582763,0.6483461423047248,-0.22421804484644847,1.984702807159643e-14,1.2458686713495354e-11
243915_at,0.8395689749207254,0.6350857867165538,0.20448318820417155,3.035166371338828e-12,5.163848630465029e-10
243988_at,0.7298795040984427,0.5192111371523591,0.2106683669460836,2.40750697462546e-12,4.3055615751850936e-10
244027_at,0.6295145776471406,0.42699520595556717,0.2025193716915734,3.124191261304961e-10,2.1488848533205016e-08
244045_at,0.6347736682154889,0.4181797818413577,0.21659388637413118,2.3057542058403176e-11,2.66224427999064e-09
244308_at,0.5381835581850384,0.32792698351521143,0.21025657466982695,2.539586699219507e-11,2.8954999666904994e-09
244350_at,0.5473085276828763,0.31861725845197625,0.22869126923090005,4.554924645400345e-12,7.337997040095842e-10
244473_at,0.6236570889601742,0.3913167466393445,0.23234034232082973,5.019032326112331e-11,4.965659645398056e-09
244753_at,0.8887742998923821,0.6840623230802388,0.20471197681214326,2.1501008907079722e-14,1.3047051104914942e-11
244868_at,0.6237573704426808,0.4159549622669476,0.20780240817573314,1.6466137389105849e-10,1.2939067068075362e-08
1552302_at,0.517535579462734,0.2679196976588302,0.24961588180390376,1.043309935781763e-13,4.252110859914136e-11
1552506_at,0.5349221334122303,0.33474045218522464,0.20018168122700564,2.8019274339700754e-10,1.969390771575389e-08
1552507_at,0.5592152588940004,0.2958914473778429,0.26332381151615747,4.1001747064141084e-14,2.1044072010034135e-11
1553313_s_at,0.7037810002320102,0.46452871626964765,0.23925228396236253,3.6218870182773735e-13,1.0195985346865062e-10
1553357_at,0.4858151661518311,0.6951110977040428,-0.20929593155221166,8.639659702560191e-10,4.819588716403675e-08
1553909_x_at,0.7704264592587999,0.5680321065179444,0.2023943527408555,3.700372454379113e-10,2.438395465777611e-08
1554096_a_at,0.6419792690528274,0.3719143693542353,0.27006489969859215,6.821000437623857e-14,2.960488698548598e-11
1554473_at,0.5637204972775975,0.33991415687637666,0.22380634040122088,1.2509394675125871e-11,1.6074719326885863e-09
1554500_a_at,0.40569834283460854,0.6242352512366844,-0.2185369084020759,5.806889402208433e-16,8.614888672441504e-13
1554565_x_at,0.6499762390305328,0.41224363976280515,0.23773259926772766,1.26012215069218e-10,1.0636638487751472e-08
1554593_s_at,0.5180636976021115,0.744480624931416,-0.22641692732930452,1.8351339903067497e-11,2.207536841687721e-09
1554963_at,0.7878718025478114,0.5802182633276041,0.20765353922020735,2.5777548193119765e-14,1.5302056950770107e-11
1555318_at,0.6920860893890871,0.4120786029588413,0.2800074864302458,2.1058929366503263e-18,1.8766406508741818e-14
1555862_s_at,0.636122968395823,0.4102996580229204,0.22582331037290265,3.867652210835017e-11,4.000456253604788e-09
1555882_at,0.34755921602853873,0.5650526269859869,-0.21749341095744817,8.662717438442476e-10,4.827520280261826e-08
1556314_a_at,0.6654537146489907,0.42564916497916055,0.23980454966983017,3.870784966828513e-10,2.534714381215894e-08
1556366_s_at,0.5139612328870674,0.7150023439694274,-0.20104111108236,2.089017397985861e-09,9.864756716955634e-08
1556499_s_at,0.44504966518951156,0.22665734465319268,0.21839232053631888,5.717313944838902e-08,1.492541426718389e-06
1556590_s_at,0.5958723782529196,0.33805155604368703,0.2578208222092326,7.457082105743039e-12,1.0633253917518135e-09
1557780_at,0.7718469557740082,0.5676048559125808,0.20424209986142738,1.0510234815307121e-08,3.7127778393814217e-07
1558569_at,0.5968533394089063,0.3484319279130975,0.24842141149580876,1.0815092969851702e-11,1.4309197070751617e-09
1558695_at,0.8791095559374098,0.6772391938725963,0.20187036206481346,1.0197574301887201e-11,1.3616628981637303e-09
1558831_x_at,0.7782227024199829,0.5756030728037942,0.20261962961618873,7.235813953838039e-12,1.0371903082964746e-09
1559044_at,0.6157585827921865,0.41143882737238097,0.20431975541980557,4.000434188720215e-10,2.6009013374830607e-08
1559375_s_at,0.7710549616614423,0.4488217602955518,0.32223320136589045,7.008252990575442e-18,3.827417205742966e-14
1559391_s_at,0.8581426957808688,0.648511077082066,0.20963161869880276,2.438348893227989e-12,4.3241761425584104e-10
1559402_a_at,0.8433091667157184,0.566406143132813,0.2769030235829054,1.9994601917145397e-16,4.0443155351891166e-13
1559650_at,0.3527730126700762,0.6081046978636585,-0.2553316851935823,1.379594188995124e-12,2.7787012743490403e-10
1560763_at,0.7296396017245999,0.48344686048666313,0.24619274123793672,1.6162494278334364e-11,1.9805493109943726e-09
1560926_at,0.7590600820554116,0.5552149219452674,0.2038451601101442,2.9057208344907e-07,5.844940402727094e-06
1561158_at,0.6154728485125556,0.3998919818774146,0.21558086663514098,2.2530443023642324e-10,1.6538374796373365e-08
1561362_at,0.5688826064319784,0.3589865829469513,0.20989602348502712,3.1318145385429887e-12,5.295287535400874e-10
1562110_at,0.4600679080886257,0.2586402785303226,0.20142762955830307,4.157196034126313e-11,4.259442657079587e-09
