chembl_id,name,smiles,mw,logp,pred_GRIN1,pred_HSPA8,pred_ITPKB,pred_PGK1,avg_predicted
CHEMBL761,NAPHAZOLINE,c1ccc2c(CC3=NCCN3)cccc2c1,210.28,2.38,-8.356833333333338,-6.437743181818182,-6.994999999999994,-6.0709318181818155,-6.965127083333332
CHEMBL105,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,334.33,-1.65,-7.772857142857145,-6.9202004329004305,-7.097999999999994,-6.068964285714288,-6.965005465367964
CHEMBL289469,GRANISETRON,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,312.42,2.32,-7.8562380952381,-6.794325342747069,-7.180421428571424,-6.019749999999998,-6.962683716639148
CHEMBL431770,ISTRADEFYLLINE,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,384.44,2.12,-7.841291641691645,-7.159703896103895,-7.107071428571423,-5.741894119769121,-6.962490271534021
CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,352.77,2.81,-7.955768253968258,-6.654906349206348,-7.065999999999995,-6.14741666666667,-6.956022817460317
CHEMBL760,ANAGRELIDE,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,256.09,1.93,-7.766000000000004,-6.909817987482072,-7.067666666666663,-6.077853174603173,-6.955334457187979
CHEMBL847,OXAMNIQUINE,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,279.34,1.81,-7.781178571428574,-6.9248909748747955,-6.8255,-6.28,-6.952892386575843
CHEMBL1073,GLIPIZIDE,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,445.55,2.08,-7.785000000000002,-6.9748277417027404,-7.00812698412698,-6.042000000000004,-6.9524886814574325
CHEMBL1069,VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,435.53,4.16,-8.158791208791213,-6.710533249546151,-7.1446,-5.783571428571431,-6.949373971727199
CHEMBL850,SPARFLOXACIN,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,392.41,2.08,-7.836604700854702,-7.051964205969471,-6.742833333333339,-6.14268888888889,-6.943522782261601
CHEMBL34259,METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.45,0.27,-8.026033333333338,-6.899188600288601,-6.9814047619047574,-5.864571428571429,-6.942799531024532
CHEMBL53292,ISOXICAM,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,335.34,1.48,-7.645339260739262,-6.917407142857145,-7.100404761904757,-6.088880952380954,-6.938008029470529
CHEMBL50588,EMETINE,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,480.65,4.94,-7.948942857142852,-6.934759523809522,-7.041833333333329,-5.781380952380951,-6.926729166666664
CHEMBL580,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.16,3.1,-7.847878943278945,-6.637593799827625,-7.057666666666664,-6.1339365079365065,-6.919268979427435
CHEMBL643,PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,284.43,4.24,-8.133376623376627,-6.728257347670251,-6.962333333333328,-5.818857808857806,-6.910706278309503
CHEMBL87992,ESLICARBAZEPINE ACETATE,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,296.33,3.06,-7.752809523809524,-6.789983784305511,-7.034833333333332,-6.057790043290046,-6.908854171184602
CHEMBL680,CEFACLOR ANHYDROUS,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,367.81,0.62,-7.704539682539687,-6.741437012987015,-6.9659880952380915,-6.20253499278499,-6.903624945887446
CHEMBL989,FLUOCINOLONE ACETONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,452.49,2.37,-7.920200000000003,-6.680247727272724,-6.9579999999999975,-6.048035714285715,-6.90162086038961
CHEMBL316157,CEPHALORIDINE,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,415.5,-0.32,-7.7885714285714345,-6.679717965367965,-7.071821428571426,-6.061321428571431,-6.9003580627705645
CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.44,2.51,-8.17691428571429,-6.572519364699628,-7.049999999999996,-5.793999999999999,-6.8983584126034785
CHEMBL967,TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.75,2.47,-7.747628943278952,-6.626137680409411,-7.128933333333327,-6.083496336996336,-6.896549073504507
CHEMBL21333,PRANLUKAST,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,481.51,4.63,-7.885199999999998,-6.902495104895105,-6.871000000000001,-5.927190476190478,-6.896471395271396
CHEMBL568,OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.72,2.45,-7.846878943278947,-6.5862723712561975,-7.0606666666666635,-6.09176984126984,-6.896396955617912
CHEMBL276520,INDALPINE,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,228.34,3.1,-8.265690476190482,-6.267358308358306,-7.103999999999996,-5.947749999999996,-6.896199696137194
CHEMBL434394,NEBIVOLOL,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,405.44,2.36,-7.9699777777777765,-6.607545238095238,-6.789000000000001,-6.217999999999998,-6.896130753968253
CHEMBL43128,PRIMAQUINE PHOSPHATE,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,455.34,2.78,-7.698285714285716,-6.927967784992782,-7.004749999999999,-5.953000000000004,-6.896000874819625
CHEMBL632,BETAMETHASONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.47,1.9,-7.991866666666666,-6.676892965367963,-6.953999999999996,-5.936035714285715,-6.889698836580085
CHEMBL1087,MEPIVACAINE,Cc1cccc(C)c1NC(=O)C1CCCCN1C,246.35,2.73,-7.7847500000000025,-6.747282233078959,-7.064166666666662,-5.961714285714283,-6.8894782963649766
CHEMBL13376,CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,357.79,3.93,-7.763954700854706,-6.729362626262623,-6.931666666666664,-6.123467532467532,-6.8871128815628815
CHEMBL685,MEBENDAZOLE,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,295.3,2.97,-7.791814718614724,-6.702888834810563,-7.102749999999999,-5.9404260184260185,-6.884469892962825
CHEMBL855,TRIPROLIDINE,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,278.4,3.92,-8.316523809523813,-6.537983862821766,-7.111671428571421,-5.564999999999998,-6.88279477522925
CHEMBL878,METOLAZONE,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,365.84,2.71,-7.533674181374185,-6.76913622407005,-6.975416666666664,-6.245670940170938,-6.88097450307046
CHEMBL635,PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,358.43,1.77,-7.92172380952381,-6.773136555111555,-6.968999999999997,-5.858892857142857,-6.880688305444554
CHEMBL599,MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.41,1.95,-7.578739260739264,-6.826013203463206,-7.068404761904758,-6.047782051282055,-6.880234819347321
CHEMBL634,ALFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,416.53,1.38,-7.760884065934073,-6.76120883302065,-7.013671428571427,-5.977166666666669,-6.878232748548204
CHEMBL284092,GEPIRONE,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,359.47,1.55,-7.561559523809525,-6.957701316773045,-7.170171428571424,-5.821500000000001,-6.877733067288498
CHEMBL1068,OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,252.27,2.64,-7.624976190476191,-6.769412547746371,-7.020833333333332,-6.066055555555556,-6.870319406777863
CHEMBL416956,MEFLOQUINE,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,378.32,4.45,-7.942428571428573,-6.592844985032886,-7.012166666666665,-5.861465909090907,-6.852226533054758
CHEMBL829,METHYLPROMAZINE,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,298.45,4.49,-8.086376623376625,-6.640280074942978,-6.957333333333329,-5.713857808857807,-6.849461960127685
CHEMBL995,LOSARTAN POTASSIUM,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],461.01,4.27,-8.055826923076927,-6.615245646020644,-6.803671428571428,-5.877253246753246,-6.837999311105561
CHEMBL278819,MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,298.39,2.2,-7.898288827838831,-6.672272102360004,-6.859838095238091,-5.9195,-6.8374747563592315
CHEMBL131,PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.45,1.56,-7.92172380952381,-6.6041365551115545,-6.968999999999997,-5.847892857142857,-6.835688305444554
CHEMBL1008,BEPRIDIL,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,366.55,4.83,-7.896807142857149,-6.5962635949254125,-6.958749999999997,-5.877714285714288,-6.832383755874211
