protein,degree_centrality,betweenness_centrality,hub_score
DTNA,0.015151515151515152,0.000629983161645202,0.007890749156580177
IFT122,0.015151515151515152,0.00030543447094453325,0.007728474811229843
CD2BP2,0.015151515151515152,0.0001745921593249838,0.007663053655420068
HIF3A,0.015151515151515152,0.0,0.007575757575757576
SOSTDC1,0.015151515151515152,0.0,0.007575757575757576
LAMB1,0.015151515151515152,0.0,0.007575757575757576
NUMA1,0.015151515151515152,0.0,0.007575757575757576
FABP3,0.015151515151515152,0.0,0.007575757575757576
RORA,0.007575757575757576,0.0,0.003787878787878788
MECOM,0.007575757575757576,0.0,0.003787878787878788
RITA1,0.007575757575757576,0.0,0.003787878787878788
ZBED6,0.007575757575757576,0.0,0.003787878787878788
ABT1,0.007575757575757576,0.0,0.003787878787878788
MTPAP,0.007575757575757576,0.0,0.003787878787878788
GLRB,0.007575757575757576,0.0,0.003787878787878788
FAM71E1,0.007575757575757576,0.0,0.003787878787878788
SPPL3,0.007575757575757576,0.0,0.003787878787878788
MPV17,0.007575757575757576,0.0,0.003787878787878788
ZNRD2,0.007575757575757576,0.0,0.003787878787878788
POLDIP2,0.007575757575757576,0.0,0.003787878787878788
PRMT7,0.007575757575757576,0.0,0.003787878787878788
SNX31,0.007575757575757576,0.0,0.003787878787878788
LARP4B,0.007575757575757576,0.0,0.003787878787878788
CNOT10,0.007575757575757576,0.0,0.003787878787878788
EBP,0.007575757575757576,0.0,0.003787878787878788
DHRS7B,0.007575757575757576,0.0,0.003787878787878788
STON2,0.007575757575757576,0.0,0.003787878787878788
ID3,0.007575757575757576,0.0,0.003787878787878788
ZDHHC4,0.007575757575757576,0.0,0.003787878787878788
GOLIM4,0.007575757575757576,0.0,0.003787878787878788
FAR2,0.007575757575757576,0.0,0.003787878787878788
