Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
215645_at,0.7426005321875186,0.5399066565817764,0.2026938756057422,8.336902122224754e-13,1.8964622995380907e-10,215645_at,FLCN,folliculin
215714_s_at,0.4434457475672693,0.680463675306567,-0.2370179277392977,1.8831339577360428e-08,6.038966226297035e-07,215714_s_at,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
216101_at,0.8381279611210889,0.6129960591521271,0.2251319019689618,2.412432647916501e-12,4.3055615751850936e-10,,,
216602_s_at,0.2783908891614599,0.5106515319255148,-0.2322606427640549,2.6094463009763088e-11,2.956632589942306e-09,216602_s_at,FARSA,"phenylalanyl-tRNA synthetase, alpha subunit"
216804_s_at,0.5257878732116974,0.272644985550997,0.2531428876607003,5.815902064135127e-13,1.4437448155845986e-10,216804_s_at,PDLIM5,PDZ and LIM domain 5
216977_x_at,0.5077211175676206,0.7125207423530419,-0.2047996247854212,2.1628837784657748e-08,6.780802054727402e-07,216977_x_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A'
217028_at,0.7997732569565119,0.5815471721680193,0.2182260847884926,2.1175309077195814e-12,3.880695149774816e-10,217028_at,CXCR4,chemokine (C-X-C motif) receptor 4
217356_s_at,0.4167660335002502,0.62362480283608,-0.2068587693358298,2.4014297385052925e-06,3.451296902868146e-05,217356_s_at,PGK1,phosphoglycerate kinase 1
217482_at,0.7788271919020393,0.5620030042706659,0.2168241876313734,2.5987091991633927e-12,4.5929872328126325e-10,,,
217937_s_at,0.6539871208097829,0.4234460777991219,0.230541043010661,5.592618595259329e-17,1.6968315519049873e-13,217937_s_at,HDAC7,histone deacetylase 7
218405_at,0.344066939676745,0.5502355560707368,-0.2061686163939917,1.950116511051641e-09,9.338249872973966e-08,218405_at,ABT1,activator of basal transcription 1
218609_s_at,0.4196917581876428,0.6596618139178941,-0.2399700557302513,8.283908842016119e-14,3.4535046838856966e-11,218609_s_at,NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2
219203_at,0.5134879090075372,0.7169822392559273,-0.2034943302483901,3.0387799453988647e-10,2.111410803537764e-08,219203_at,EMC9,ER membrane protein complex subunit 9
219408_at,0.4199149896909231,0.6451784055808595,-0.2252634158899363,1.616545337292891e-10,1.2776322793860586e-08,219408_at,PRMT7,protein arginine methyltransferase 7
219896_at,0.5786580497713222,0.806262731343897,-0.2276046815725748,8.098319937495008e-13,1.8661331086346618e-10,219896_at,CALY,calcyon neuron-specific vesicular protein
220260_at,0.3494313379004354,0.5653586281397636,-0.2159272902393281,7.627521687384975e-10,4.343710551753448e-08,220260_at,TBC1D19,"TBC1 domain family, member 19"
220261_s_at,0.3366111419746852,0.5502562389749657,-0.2136450970002804,7.825241173093103e-09,2.895222376407092e-07,220261_s_at,ZDHHC4,"zinc finger, DHHC-type containing 4"
220415_at,0.4784979599172404,0.6794038607707206,-0.2009059008534801,4.987829448551849e-10,3.1167085775029986e-08,220415_at,FPGT-TNNI3K /// TNNI3K,FPGT-TNNI3K readthrough /// TNNI3 interacting kinase
220615_s_at,0.6112674674422286,0.8133439909446706,-0.2020765235024419,3.905171681705388e-12,6.366362419491831e-10,220615_s_at,FAR2,fatty acyl CoA reductase 2
220690_s_at,0.3817799524613565,0.6655845674046855,-0.283804614943329,1.4511697362894436e-13,5.391342367889481e-11,220690_s_at,DHRS7B,dehydrogenase/reductase (SDR family) member 7B
220744_s_at,0.5431206627629459,0.7447106690783184,-0.2015900063153725,1.1397507034374067e-09,5.99087633944438e-08,220744_s_at,IFT122 /// LOC101927266,intraflagellar transport 122 homolog (Chlamydomonas) /// intraflagellar transport protein 122 homolog
221449_s_at,0.5045945746407241,0.7523004401197124,-0.2477058654789883,4.743429843080044e-12,7.55256367405628e-10,221449_s_at,ITFG1,integrin alpha FG-GAP repeat containing 1
221531_at,0.416029997554308,0.6453632291426686,-0.2293332315883606,2.2149723952745927e-10,1.6302734154060826e-08,221531_at,WDR61,WD repeat domain 61
221772_s_at,0.4910417819065319,0.7412264232417668,-0.2501846413352349,1.805986216697112e-14,1.2052265763477468e-11,221772_s_at,PPP2R2D,"protein phosphatase 2, regulatory subunit B, delta"
221777_at,0.4687216614899217,0.6760210745388453,-0.2072994130489235,1.6420654434491668e-10,1.2921919317448032e-08,221777_at,RITA1,RBPJ interacting and tubulin associated 1
221884_at,0.6919840988019543,0.4755279367971065,0.2164561620048478,9.401864191445872e-09,3.382206783619572e-07,221884_at,MECOM,MDS1 and EVI1 complex locus
222308_x_at,0.652344929776414,0.4492011426400776,0.2031437871363363,3.166435792059194e-10,2.1697435120668607e-08,,,
